period,n,log_r2,log_mae,log_rmse,log_spearman,tc_mae,tc_rmse,r2_status
202101,926,0.06910060923639316,2.9427987976908727,3.0721175068392577,0.5265251726006283,1299.8570686934524,5895.24392652171,ok
202102,926,-0.030584223824679846,3.074489979834749,3.1987509288328213,0.46982418793924263,1223.325320787084,5456.332606718632,ok
202103,926,0.27161091654902847,2.0721976359110115,2.7291715022477656,0.5716586178228289,1183.064005342743,6239.383546586866,ok
202104,926,0.08548326193131017,1.9212359309106932,3.052592762902818,0.5321352116910317,1496.5733500362312,8620.006725629173,ok
202105,926,0.24099041641142527,1.8985513476772087,2.806259629604488,0.5176259350411436,1176.1650953266362,6719.416982395591,ok
202106,926,0.16394937432752088,1.9912643753754502,2.951051059656784,0.5493863739974726,1243.2603944161672,7004.143771092889,ok
202107,926,0.22975336140913405,2.2681306765626945,2.8401124712219663,0.5195322620256744,1343.642708223462,6740.596930408635,ok
202108,926,0.15440167492043588,1.9666529627866765,2.9516520883483266,0.5538171102723435,1289.0435919670826,7277.217913295518,ok
202109,926,0.1855664853014216,2.0345455370934435,2.856270411063998,0.5463512778602758,1068.0065455199215,5801.207803803222,ok
202110,926,0.2016652486370163,2.2256039074380287,2.8257603913711695,0.32591243617837573,1130.5849477658826,5725.706116615959,ok
202111,926,0.1848471333118129,2.5436626425219933,2.8366673885254885,0.46096781903802486,1112.1214301108441,5310.6952354961695,ok
202112,926,-0.01666354604985587,3.0249642357336155,3.1776062238478273,0.33667536693104766,1234.8338876283726,5482.041152648997,ok
202201,926,0.07901003006255403,2.7976003163759366,3.0489633469145194,0.4758469654755773,1299.6649472105169,5851.16045729006,ok
202202,926,0.04740679142318993,2.891979795947869,3.0731210040058774,0.4765984568765827,1208.4139676167524,5429.190500753156,ok
202203,926,0.2239066324144623,2.1133589705130618,2.813014749814714,0.5510619018079272,1196.190644294976,6234.838802460492,ok
202204,926,0.11201544743273228,1.9856885583234691,2.9939863875053727,0.5123841909288673,1319.8199262882636,7717.456749687745,ok
202205,926,0.20070365471460783,2.188252876610975,2.873874633220614,0.49215572765596843,1239.9677699065328,6353.330015986816,ok
202206,926,0.10163981909493403,1.9629789982200536,3.0433403698101036,0.5204680578781862,1158.5519909123486,6734.8047660152515,ok
202207,926,0.17699898781417844,2.2985054346621157,2.92621553952579,0.5174503503870466,1321.450407927347,6549.150192461548,ok
202208,926,0.12857034622767194,2.025643800185473,2.989924700016737,0.5371958143676325,1259.4064791153476,6917.672934001234,ok
202209,926,0.2526063453327626,2.0208788844901604,2.725259827832722,0.55701136200539,1009.0275600228575,5444.756706294372,ok
202210,926,0.23261037863865086,2.3725107472952724,2.7585127702789154,0.4930716268966223,1090.8959257918204,5387.177351642165,ok
202211,926,0.12569120469135475,2.403400280536762,2.9158520963725634,0.3433515422460622,1060.4819744036217,5072.707175760474,ok
202212,926,0.19352797148841994,2.516323108252069,2.796623159048552,0.5397351537342518,1081.5385921411648,5027.214530106873,ok
202301,926,0.13964550882395899,2.5539356272924247,2.956960935629608,0.47323177218059553,1310.0644719404531,6062.371797011399,ok
202302,926,0.013160688700358802,2.935657445206997,3.1386592949295253,0.4211974398621175,1249.537995812372,5572.450594236256,ok
202303,926,0.20850683325183683,2.1189743771888856,2.8504506273973247,0.47168213690619676,1256.1749088424147,6463.96624597818,ok
202304,926,0.11540707610177803,1.9646367663389963,2.998478197864357,0.4980325484619005,1339.2007685904507,7887.7416758286645,ok
202305,926,0.1923009294125877,2.3094461358441047,2.898705713785015,0.47458607482946763,1343.1781848550177,6561.9040918265555,ok
202306,926,0.1399071917833523,2.2746772416701275,2.9878924890674408,0.4788939292450695,1376.3641943113917,6841.9342131834655,ok
202307,926,0.15970361652931375,2.374787319792426,2.966763612754223,0.4411472439256018,1402.6377312209256,6760.88523624687,ok
202308,926,0.13461301865457387,2.022746636937702,2.9896463744793835,0.4657609676798063,1281.8305752844958,7109.004521251918,ok
202309,926,0.17217638381763034,2.152088819574027,2.878030941045976,0.47589405615494434,1147.2932630671319,5867.889150326224,ok
202310,926,0.2076233614997801,2.069033462242656,2.8127281203614456,0.4990685738775165,1126.661037279029,5962.846827614098,ok
202311,926,0.20042667467297726,2.1517423755870158,2.7981515577362086,0.5447393019061151,1099.0868701501706,5630.659754709441,ok
202312,926,0.20837050078672792,2.4091035424143543,2.780425641456523,0.4722349727337137,1045.4911751377429,5107.94651780188,ok
