period,n,log_r2,log_mae,log_rmse,log_spearman,tc_mae,tc_rmse,r2_status
202101,905,-1.6588658510556025,1.4651268143535785,1.7516858456957498,0.44178870537340686,43395.33590578714,697543.8500065898,ok
202102,905,-1.1858607218746484,1.1353246996339923,1.5489341844858568,0.44925928035466806,45759.47871739878,726685.7889506433,ok
202103,905,-1.6964985483632096,1.37810693531641,1.7021596037176856,0.3808062299157042,43677.56263051589,737021.8788970993,ok
202104,905,-1.5357974956252733,1.1904452333694655,1.609035829428564,0.43005998959132535,56782.66114150594,950290.8007809351,ok
202105,905,-2.0280872386094417,1.326159073570321,1.7452214836886053,0.43359790888191174,105282.30345672985,1825869.3301422792,ok
202106,905,-2.124135728546977,1.1601781834864149,1.7997138797254568,0.45848257270030246,206090.01409742553,3480742.3151404583,ok
202107,905,-1.8811585937931068,1.079229779071076,1.769987196222503,0.4057323311804088,167937.25460752286,2755977.9338141275,ok
202108,905,-1.783851631903108,1.060164450641698,1.737120947483571,0.447162864507575,225433.5221482436,3910870.254391623,ok
202109,905,-2.4691669631892,1.1123535291734026,1.900183225348914,0.42760921609813773,380138.7794439594,6671955.451650034,ok
202110,905,-1.9279975010607808,1.1994936531764318,1.7567175199554363,0.44266102878171437,195473.89051413897,3408170.79979613,ok
202111,905,-2.276739027634747,1.356127309204028,1.868236234701615,0.44731324220637814,220585.7785544188,3875489.949152841,ok
202112,905,-1.9018695593154051,1.351436144479719,1.7948713207139708,0.42548555940980093,101669.51162819273,1712986.0963029212,ok
202201,905,-2.3133026807210695,1.402464746490801,1.9349549878825496,0.38851439631848506,142474.27192148895,2236282.308745957,ok
202202,905,-2.9702457332186185,1.522157432297784,2.0952882517071183,0.39291802553942656,161595.30770833144,2143965.7521134056,ok
202203,905,-4.031325005978514,1.6764549063283745,2.3234736269224423,0.31995276989448346,288433.82114269154,2779477.5999803673,ok
202204,905,-5.28824531629221,1.7151280833919669,2.5231267927733234,0.3631013261349775,618031.814139318,5377165.5693626655,ok
202205,905,-5.667464857423386,1.6095658480795394,2.5838017213664997,0.3616533549205123,1015398.8124732734,8905598.0763029,ok
202206,905,-5.493675791003406,1.4448479433429475,2.60407316692342,0.4070892193423395,1461440.1808879073,12988048.543905748,ok
202207,905,-4.649816985329777,1.501267831641808,2.4875372350336358,0.3995393473843073,1081556.3438701453,9865913.411733111,ok
202208,905,-4.922667735211709,1.443562272749927,2.545665403775654,0.3946326324335429,1361762.498646336,12482487.362459704,ok
202209,905,-5.854583786758545,1.521569742062063,2.701179627292699,0.37309947201373567,2263514.423605353,20421530.889898427,ok
202210,905,-5.137363801882991,1.4463736390467474,2.5266974982408676,0.37990895013955417,1098444.173785258,10030389.117939001,ok
202211,905,-5.559040507559794,1.5800485320509545,2.621276134033104,0.4010390931458762,1387644.1938627143,12146512.510574374,ok
202212,905,-4.920673036858517,1.6992300825263933,2.558672182724247,0.3659663867788546,1004246.6418137761,8466560.901609654,ok
202301,905,-4.385400359779609,1.6025272876002923,2.4484232563618087,0.38092664054549896,688168.7517299294,5950689.378348592,ok
202302,905,-4.439890666411256,1.5084068260812726,2.4341079002630908,0.4099967292865624,724391.656366191,6207358.195975894,ok
202303,905,-5.597537189337411,1.7821377147089357,2.640481723406512,0.3389723796662594,1129085.41788471,9581158.680458277,ok
202304,905,-5.306990701379356,1.4234889966646587,2.507474340476571,0.39094312121931496,889920.4936148067,8558099.966853216,ok
202305,905,-5.798699445469715,1.6026679037212936,2.589052761162744,0.37264393532857937,1153165.306572949,12532963.457420625,ok
202306,905,-5.96267231273049,1.490162900808459,2.6758873919646904,0.4095385779705877,1916617.8607748374,22104199.735551614,ok
202307,905,-4.9358036890847,1.4585620682915559,2.5304845479196407,0.41352410101072046,1467706.6045592835,17343112.666728012,ok
202308,905,-5.297353356395228,1.4072517695234608,2.6051481593532455,0.40223920869152213,1883455.1498643775,21248346.23205108,ok
202309,905,-6.357370359823605,1.5333587824814026,2.7772194285657568,0.38740708802464396,2997648.6200601864,31990679.34635657,ok
202310,905,-5.318501309046729,1.4883619035456586,2.544150376809033,0.43019746412751386,1270589.9198612627,14869869.297604043,ok
202311,905,-5.674843754884938,1.5169244349702364,2.624142372428474,0.3917346501068842,1517584.9923042972,15160461.927664416,ok
202312,905,-5.016629481898409,1.6403108953708088,2.5599113727347333,0.34623119383572687,1061677.3482861815,9351859.008887723,ok
