period,n,log_r2,log_mae,log_rmse,log_spearman,tc_mae,tc_rmse,r2_status
202101,13,-404.7827342596108,0.5316104000839198,0.6441107404743814,0.6354889093022426,228.32738420080673,315.7133367007426,ok
202102,13,-407.17024630830116,0.5320151141471355,0.646015448791511,0.6354889093022426,199.2309128105798,260.00767981157026,ok
202103,13,-392.71455046358,0.5147280829864784,0.6340486320201665,0.6299868408234353,200.0843519383486,291.32535280606703,ok
202104,13,-372.89295103350224,0.5105177290770885,0.6177041613688231,0.6574971832174717,152.68597173995784,203.76895808980592,ok
202105,13,-402.9274974629309,0.5308153454621892,0.6423175884663029,0.7675385527936176,164.7751316565013,208.65287951331015,ok
202106,13,-444.03268858845126,0.5617556246997261,0.6747343935629797,0.7345261419207739,284.69127810948646,396.9097077021616,ok
202107,13,-470.95573143317597,0.5795835757249936,0.6950683138963502,0.7455302788783884,267.59989203340876,335.0138705668909,ok
202108,13,-468.9711946892433,0.5606492701105716,0.6936184322747634,0.7125178680055446,282.1353659678202,374.8002815402149,ok
202109,13,-442.33695535862364,0.545018158628981,0.6733069482808393,0.7197802197802198,203.7535272726403,261.63042581396826,ok
202110,13,-430.8964628229187,0.5281042532269093,0.6642892955596514,0.7455302788783884,183.9130430484309,245.90044767110348,ok
202111,13,-414.58991261536886,0.5169023331023513,0.6514827530898416,0.7455302788783884,170.35362894154974,229.7209238224815,ok
202112,13,-439.5038910628419,0.5557574250902533,0.670789871889955,0.7125178680055446,216.98024179253596,298.9904261200975,ok
202201,13,-433.31128854877534,0.5447463163375794,0.666425171156494,0.7675385527936176,237.94772645520726,325.76185053521175,ok
202202,13,-421.5678713810493,0.5392113858772285,0.6569695813971741,0.7455302788783884,195.06829075791495,264.83186648906826,ok
202203,13,-390.23473812705953,0.5213010102473624,0.6319381812377081,0.6299868408234353,191.10210704058895,277.010583152401,ok
202204,13,-398.9967538838195,0.5363660149711232,0.6389930941716111,0.6574971832174717,186.35649271158002,255.23769801240198,ok
202205,13,-440.25551584226207,0.5667707581231343,0.6714597461888603,0.6574971832174717,247.7944730415462,348.9616882367211,ok
202206,13,-433.4595979990466,0.5670044484480627,0.6666272139485364,0.6354889093022426,286.3671805751322,405.5660367893512,ok
202207,13,-465.2577574767912,0.5778934034201891,0.690870049562601,0.6574971832174717,262.4437715966882,327.7685974767232,ok
202208,13,-458.8881701914748,0.564543121819941,0.6861091315547011,0.6574971832174717,256.40608257677593,329.41880743649006,ok
202209,13,-411.7495955207305,0.5418704364437132,0.6496789830112143,0.6354889093022426,208.07278810209667,272.31171119760114,ok
202210,13,-422.3393343864142,0.5433811170070995,0.6576320358843187,0.6574971832174717,160.68240147823383,195.47741918455253,ok
202211,13,-504.44834456917346,0.6030023814110103,0.718551412971435,0.6574971832174717,150.41185576340837,165.07425133804705,ok
202212,13,-453.30944848655764,0.5753895852215131,0.6816170128007151,0.6079785669082061,295.04540285440913,425.5245149401847,ok
202301,13,-411.77761811965325,0.5483911240645635,0.6496438244630591,0.6134806353870134,244.7677044114913,341.9519072085397,ok
202302,13,-394.44925666223867,0.5451717949617598,0.6354796347651689,0.6134806353870134,210.96462223635243,302.80748841035137,ok
202303,13,-363.0420566129133,0.5063581738689369,0.6095185842849781,0.6354889093022426,172.92323195328572,252.8939672342359,ok
202304,13,-370.8822180194833,0.5094541998151336,0.6160640571687408,0.6574971832174717,147.31237988614842,192.92180581974296,ok
202305,13,-450.6298478664498,0.5686552513003915,0.6792467888021583,0.6299868408234353,256.83011941933535,370.59654838055786,ok
202306,13,-407.98747982990443,0.546624974644332,0.646742720790307,0.6354889093022426,246.76703716809354,341.28012879866975,ok
202307,13,-450.32550467177475,0.5538988004182354,0.679675857656934,0.7125178680055446,280.8847987941112,380.927571401888,ok
202308,13,-457.525374979377,0.5639384441521644,0.6850493196299842,0.6354889093022426,246.6785588149564,322.1547615291249,ok
202309,13,-444.31474834262605,0.5872680520339177,0.674769903106276,0.6354889093022426,287.3045913042462,413.3126329764664,ok
202310,13,-421.3530564796302,0.5735179242317288,0.6568055729868556,0.49793719733206016,225.52956511951209,319.7190588204379,ok
202311,13,-402.967452087701,0.5429226500607144,0.6423211186982907,0.6354889093022426,166.06745880798587,219.19944410602506,ok
202312,13,-526.6978011129271,0.6228013572025772,0.7345544575578259,0.49793719733206016,348.35029220923064,539.4220435183664,ok
