period,n,log_r2,log_mae,log_rmse,log_spearman,tc_mae,tc_rmse,r2_status
202101,29,-16.91928775088458,0.9944624510581512,1.305140027268744,0.29211822660098513,1001.5038057097727,1187.766063550702,ok
202102,29,-11.853021207694995,0.8799717486073557,1.1051813331909965,0.2635467980295566,1177.5906722353957,1545.120022478259,ok
202103,29,-19.608879821830694,1.1684112829097282,1.399349355423532,0.3467980295566502,3051.312037202232,5189.571861179366,ok
202104,29,-9.785933211846473,0.8100734520015975,1.0121376564105757,0.43201970443349746,736.4354141039864,922.8781471203135,ok
202105,29,-10.660942798464744,0.9388201694245486,1.0523214999631134,0.489655172413793,1213.512081413864,1598.4835301605965,ok
202106,29,-12.626195985201573,1.0066667947969237,1.1376962632632617,0.5679802955665022,1774.699044527862,2502.6830129362697,ok
202107,29,-272.42686087095126,4.0608205229989105,5.097271759351816,0.2926108374384236,4614467.348604988,15264047.126831958,ok
202108,29,-9.379922580820544,0.7977873756493987,0.9931378829397038,0.25665024630541866,982.1382162359334,1249.6923221858483,ok
202109,29,-11.094577929891274,0.817558793269455,1.07186795980345,0.41083743842364523,584.5965217746208,702.3601179811508,ok
202110,29,-11.99647587751768,0.8804421995734413,1.1111698896972357,0.2990147783251231,781.9923273116962,957.9091342052519,ok
202111,29,-17.259053847315453,1.0312288951579731,1.317116621539042,0.1571428571428571,732.4887385376409,868.427360721907,ok
202112,29,-13.051227804149564,0.9177764597133223,1.1555911311552507,0.16699507389162557,1167.4380514023792,1457.9999498718564,ok
202201,29,-13.318907913509413,0.9271210296259629,1.166609768777396,0.3177339901477832,1298.537598454004,1706.2255310340345,ok
202202,29,-17.31931307511977,1.0306303963301064,1.3194594778923,0.20049261083743838,969.6366064985301,1152.7938735045284,ok
202203,29,-13.616282772781915,0.9662938084588821,1.1784609828742745,0.3305418719211822,1374.5231699768417,1939.4781196555593,ok
202204,29,-12.33978729058455,0.8819477314361098,1.1255604401869033,0.09999999999999998,635.5681239807701,759.2525218257354,ok
202205,29,-8.495135338690774,0.7721013828999416,0.9495611119253549,0.3600985221674876,658.9266039071672,823.0730850741619,ok
202206,29,-17.514932929826198,1.135091073223396,1.3262115757537647,0.37931034482758613,3105.067185996006,4485.6963976244,ok
202207,29,-16.822465919469437,1.1336096881103217,1.301402661443662,0.46945812807881765,3633.4505439540035,5216.669687912698,ok
202208,29,-10.289049149333142,0.8657416179296504,1.0357503559042813,0.17438423645320195,1506.3359447150829,2086.7552730981533,ok
202209,29,-11.21047171310683,0.8350424073978598,1.0770854821405875,0.17389162561576352,760.7140035322846,929.1399461231684,ok
202210,29,-20.619482174057296,1.180779320732842,1.4330705335804297,0.23054187192118217,3315.389662013307,5742.923931645608,ok
202211,29,-15.115553093458235,0.9584344882523397,1.237313711840638,0.003940886699507388,811.3066467607241,1000.0404362828498,ok
202212,29,-14.230889711543677,0.9510511544210364,1.2031065797909963,0.041871921182266,1298.0689137588129,1687.5378695557238,ok
202301,29,-23.233495607687964,1.2514314186804678,1.5176049638212716,0.19408866995073887,3882.07030151324,7281.133801171905,ok
202302,29,-18.964698725172244,1.1388857891727773,1.3773710532290235,0.19458128078817727,2369.968813009385,3986.6679118679485,ok
202303,29,-19.03991512458569,1.14681750788696,1.3798122827389792,0.12068965517241378,1629.1656609160725,2527.7793304122897,ok
202304,29,-9.704049225065612,0.7745708179434885,1.0081782662707162,0.11231527093596057,631.2723040511215,808.182575718842,ok
202305,29,-9.792049235259926,0.8397411024799261,1.0122595306167403,0.46403940886699496,868.2317004488688,1192.6000169960594,ok
202306,29,-10.231010572425138,0.8812286856790695,1.0328413981744626,0.30935960591132994,1005.2454716448146,1304.410272369233,ok
202307,29,-9.846846440471882,0.8666783321740814,1.0152122679566735,0.3467980295566502,1251.211127514031,1601.4108758478988,ok
202308,29,-8.44648631239636,0.7739516293532307,0.9474117015581894,0.32463054187192114,1011.8160488681737,1283.8398223431893,ok
202309,29,-11.795261641723588,0.8559937287420948,1.1025112627646256,0.18325123152709355,691.7921212031622,828.0418915932348,ok
202310,29,-20.711042473729254,1.1810592542384604,1.4360096070568777,0.1763546798029556,2753.0229690671586,4917.037824534243,ok
202311,29,-13.037869335800568,0.9173601586321555,1.1547305043156675,0.09605911330049259,836.577813052251,1035.1388205916958,ok
202312,29,-14.155810237209735,0.9332450162590281,1.2000772697269724,0.004433497536945812,1397.2331774976324,1931.8734862680217,ok
