period,n,log_r2,log_mae,log_rmse,log_spearman,tc_mae,tc_rmse,r2_status
202101,940,-0.084604451153663,0.6934334916237614,1.3073932784531814,0.46917669358759106,302.46229583466453,2426.678079631088,ok
202102,940,-0.0966005857518013,0.7065959606323367,1.3160212107614184,0.47555906017012706,304.0184111328129,2446.7198349207138,ok
202103,940,-0.08713272467307132,0.613876198875597,1.2680403338412078,0.4832256391971217,223.60586105821093,1937.3666813306281,ok
202104,940,-0.045649712640343676,0.6347899736189749,1.2283402808126804,0.511020566731239,213.82786186713608,1783.2745793818758,ok
202105,940,-0.08680316679743716,0.6290281131487285,1.2766660193246662,0.5166338717023942,236.96148807494575,2034.1725057065696,ok
202106,940,-0.09128649752322882,0.6088284762381947,1.3326403932109454,0.544792970663715,300.0435727595018,2713.127751482709,ok
202107,940,-0.045605892230252465,0.6694964735702466,1.3313115242163784,0.5584079075818833,376.7871077197176,3147.9183058804947,ok
202108,940,-0.08289535236014633,0.6226196867006939,1.3565519416289906,0.4601236059303142,356.54912005248866,3172.753530002215,ok
202109,940,-0.07254116257383814,0.5949732897159065,1.3054151341812867,0.5353957284061137,275.5551540808433,2491.1822787172778,ok
202110,940,-0.07274912168050363,0.5769995106414326,1.2780007599654577,0.5205152047427347,235.60963644147762,2141.615270399442,ok
202111,940,-0.04613139534045585,0.6303015230890051,1.2488879913638433,0.5290324656516517,237.0119072116796,1994.8026255070915,ok
202112,940,-0.07736610788670695,0.5599742994147614,1.2729444219401431,0.49813011422101056,222.19517393498947,2050.4405019279234,ok
202201,940,-0.11218121913581203,0.752605406172904,1.3300957730534226,0.47958577512895206,326.99465206394257,2510.397479170144,ok
202202,940,-0.05142068103392394,0.6492452173374894,1.2556160587698912,0.4838956727380453,243.3731548031816,2038.554589726223,ok
202203,940,-0.026843171610843264,0.6035343459416926,1.223041936617283,0.49744982856429304,214.24813430102304,1840.6009962095588,ok
202204,940,-0.061140182852311487,0.6526838541283431,1.2447626076767004,0.5070381883700519,225.77616172461305,1859.2983138561374,ok
202205,940,-0.03640661003615553,0.5892868582307664,1.257266768047994,0.5394875059750001,240.972810923014,2157.65754756638,ok
202206,940,-0.04384997102480748,0.5916791258067691,1.298329936736027,0.5738375676863823,288.75828141673526,2640.7110490479567,ok
202207,940,-0.039369345147891366,0.6436694099464658,1.3286973991463458,0.5826946334003031,365.8039170823311,3171.3324196465173,ok
202208,940,-0.025343392359981287,0.5750508761408747,1.3163884042176661,0.5873500927823884,330.1985146543706,3110.1623690985493,ok
202209,940,-0.04038500424287905,0.593650638408487,1.287238831355563,0.5550618918947111,277.49594491821705,2515.1596452739386,ok
202210,940,-0.027560057156169826,0.5498516766674362,1.2468633945158065,0.5407730281275226,223.50908229355844,2095.8978697238745,ok
202211,940,-0.023352904912576022,0.5912851197272041,1.2417043276284707,0.5353993464097448,233.83605249218928,2069.861475503394,ok
202212,940,-0.052890758004242366,0.6849061418135507,1.296443953939169,0.5267731617371787,312.4357470647898,2540.6470026578613,ok
202301,940,-0.001063702209827877,0.6192622438888749,1.256594697597042,0.52542182925351,280.3212649467718,2431.83112861511,ok
202302,940,-0.07809903259619277,0.5687277412691142,1.265968785404487,0.5030164794118681,214.91990504019046,1976.292996555803,ok
202303,940,-0.04406978594612543,0.5753438738663454,1.227899399654343,0.48703213871132145,199.93241825150758,1786.2455984658773,ok
202304,940,-0.022061042567084188,0.5666286389395059,1.2163194756725668,0.553911920471639,197.49528805088954,1803.0063213198518,ok
202305,940,-0.04720475453608186,0.6065947029424299,1.2583986759238697,0.5551171851829656,237.0995080516391,2096.1982352150994,ok
202306,940,-0.0373163451586227,0.5564908571330537,1.2888445445883534,0.562807757259494,269.62687606383287,2563.4152894167564,ok
202307,940,-0.0044023273752382686,0.6124757976202042,1.300799003781818,0.5705908192783251,347.4841058608729,3079.3253525984364,ok
202308,940,-0.005809206499732156,0.5580439271730537,1.2984309206182358,0.5760768323466097,316.546037666413,3019.6504680706435,ok
202309,940,-0.0033637598033766647,0.5717140343524185,1.2588109022312617,0.5628901728700572,265.30429702544325,2442.172288618523,ok
202310,940,-0.007036756032942959,0.5442837836238357,1.229058341008073,0.5452323621033667,217.26898771734457,2035.6379099158992,ok
202311,940,0.007876623270904659,0.5641585090184327,1.2173596907058317,0.5579201779327726,220.47396028692407,2008.7751509796292,ok
202312,940,-0.016568019879602547,0.6497254477209979,1.2685336819439395,0.5440244625093933,294.9423645773659,2465.331520759588,ok
