period,n,log_r2,log_mae,log_rmse,log_spearman,tc_mae,tc_rmse,r2_status
202101,926,0.12449691302455512,2.7176234201064497,2.979307233421119,0.5287711483446617,1274.0035637997732,5878.857717759953,ok
202102,926,0.21024222654701752,2.2118003549941823,2.8001779707327876,0.6170926010001365,1046.9248271275846,5386.812851325028,ok
202103,926,0.21239196605178845,2.247411691970897,2.837946358447479,0.6218637657244891,1177.4702414417375,6025.130493708942,ok
202104,926,0.2125272239834819,2.2838420990975243,2.8326362931020386,0.6281554433946523,1175.7156849731102,5948.859631276977,ok
202105,926,0.2078492593902459,2.367675081364279,2.866870891883326,0.6160403785884768,1286.7850642179271,6383.787801295038,ok
202106,926,0.21620429364779248,2.3013697175565784,2.857339702632971,0.6187217268825802,1284.1457922908296,6472.848747001841,ok
202107,926,0.2169049434436484,2.329149167758428,2.863702338937196,0.6270459675283423,1313.9092862301616,6607.8671344127415,ok
202108,926,0.20552015316455297,2.239461339089177,2.8610440954325047,0.6269367086358648,1198.4673297292425,6195.179634235383,ok
202109,926,0.20259267934071112,2.242937168836027,2.8262567437961206,0.6187465088513541,1083.1828978028768,5569.890319680776,ok
202110,926,0.17763936715772843,2.369655078783607,2.8679658265153627,0.4781949338127619,1125.5491783336543,5564.89872424254,ok
202111,926,0.16648637075206296,2.469448210339003,2.868436489827782,0.5180872175425048,1093.070919122333,5300.549867240295,ok
202112,926,0.19094739246631887,2.497974317337076,2.834652541055046,0.4950438943675164,1138.8554884618754,5434.497275612629,ok
202201,926,0.2243826472486139,2.1856500993992123,2.7980051641901653,0.6301631953542856,1103.0006411551199,5733.647573042405,ok
202202,926,0.2219800053099682,2.18438386235114,2.777290442300507,0.6363859228918047,1035.1070746912887,5360.874927447556,ok
202203,926,0.20520339804012577,2.261433313120664,2.8467086708892295,0.6248708859613724,1168.1606502961695,5963.72276239752,ok
202204,926,0.20932897421278418,2.27053705076077,2.825172877163163,0.6347477879041091,1130.7229993117953,5745.544751346114,ok
202205,926,0.2028947313416276,2.37426552238803,2.8699329157080697,0.6205538037971905,1270.5395205262848,6289.5156182528835,ok
202206,926,0.21844352726042882,2.271751604617823,2.838608259376153,0.6220391948294911,1226.6553750565974,6223.9394284879245,ok
202207,926,0.22040142254605832,2.2908321030587353,2.8480108966467257,0.6251437863647034,1274.9341976204132,6446.515723521872,ok
202208,926,0.21483912368144564,2.240049608016912,2.838072001605134,0.6245238050747747,1188.3255854632912,6102.1148879204475,ok
202209,926,0.258341736973143,2.139580477907809,2.7147830634321997,0.6387781861849642,1043.1205271538363,5408.256138860842,ok
202210,926,0.19021190055732473,2.4966826052586497,2.833692581906186,0.6204094405223732,1129.3891100661106,5397.386766323338,ok
202211,926,0.16965496496942845,2.255576880383854,2.8415962044369025,0.478452849690966,976.5673028026334,4992.935146577055,ok
202212,926,0.2765100921549234,2.0830328023802225,2.648838828340563,0.6574662092524844,929.6925013641138,4930.758015103598,ok
202301,926,0.191755212077662,2.2399809472735996,2.8660141376699597,0.6111877237556657,1141.0301314759786,5884.695415654198,ok
202302,926,0.20177291726671664,2.207347124265521,2.8228264860365906,0.6190135823370576,1064.9682567741288,5500.823551035117,ok
202303,926,0.20731193626539746,2.2416146244848094,2.8526014421429835,0.6125415888750316,1193.8114570444127,6117.399932622753,ok
202304,926,0.2007194441614869,2.3053990213342854,2.8502226624791054,0.6093043634334347,1170.2599268667532,5897.795475149856,ok
202305,926,0.1915449190967573,2.4251971672246366,2.900061997913274,0.600397700885412,1317.2619161383568,6458.014684859569,ok
202306,926,0.19797468755283099,2.326027074196118,2.885269241615785,0.6043257536050163,1271.2360130433385,6389.894859436578,ok
202307,926,0.20079159487106868,2.3089118721666835,2.8933216574750635,0.60841237284141,1306.550501831266,6613.271266552165,ok
202308,926,0.20394731231902852,2.235205429254242,2.8673819646670164,0.6121161188074827,1212.9161349591648,6258.603021456801,ok
202309,926,0.20689845150085873,2.2080418498234713,2.817026624422088,0.6151092704419118,1071.7642052762667,5548.337858033451,ok
202310,926,0.21784337142917198,2.243065847515258,2.794530080570949,0.6251702170106221,1080.4296245987143,5511.046441597106,ok
202311,926,0.2088042344202663,2.1471146716004426,2.783454088669635,0.6355696309499845,964.2923805497035,5109.994029988665,ok
202312,926,0.16053288377795205,2.350942979026426,2.8632030273268283,0.5072248348220406,1012.7233423734051,5082.995653996949,ok
