period,n,log_r2,log_mae,log_rmse,log_spearman,tc_mae,tc_rmse,r2_status
202101,905,-0.8362530257588168,1.1899756975012858,1.4557080036565262,0.5129557901284588,794.6682452789122,2783.6337231148937,ok
202102,905,-0.8704110030802641,1.1672056842510419,1.4328154169335117,0.4960163365074525,635.6658773665823,2239.7978703584695,ok
202103,905,-0.7741148274237819,1.0777266360687165,1.3806736829872237,0.5073616829616662,553.223774326581,2027.0205254297734,ok
202104,905,-0.3749258497404606,0.8346896299410407,1.1848082489321123,0.49597123225440054,388.74548667932515,1612.8443606175279,ok
202105,905,-0.15308773687864918,0.6080781105252772,1.0769549475427547,0.5174925930435366,294.59581167872807,1492.3367131747466,ok
202106,905,-0.14824751913416012,0.5829224387663071,1.091079201294283,0.4849163217958257,322.01090416340435,1698.214948474244,ok
202107,905,-0.4726981904894658,0.7122499332182489,1.2654454219663762,0.3002990855022758,577.2320585494776,2096.8114855733174,ok
202108,905,-0.21013234065863529,0.5432222137590492,1.1453110437149365,0.3341262631950916,400.19850941379013,2044.2006082568566,ok
202109,905,-0.25424056635040526,0.5477765676008557,1.1425449641870355,0.41309170273906287,343.66949860817954,1711.8217476637703,ok
202110,905,-0.39870652850783017,0.8694558939986254,1.214171075488049,0.5084766849433424,455.7566222674983,1849.9107005152573,ok
202111,905,-0.6141429770710247,0.9764662717304762,1.3112390200451578,0.495188145539105,504.03239519373057,1946.0020292284944,ok
202112,905,-0.6126290299431654,1.0439540340166138,1.3380169393421046,0.49087349006829145,630.8648365545954,2336.0742114620484,ok
202201,905,-0.6392395136773452,1.0681148483752376,1.3610106317527229,0.47853857393225313,688.4840062393678,2531.4025649801783,ok
202202,905,-0.8543428828626731,1.1733074620758608,1.4319574224803664,0.46720112215105764,660.3082887488705,2319.5569481433026,ok
202203,905,-0.6916825100694859,1.03787108102139,1.3472741926573315,0.4916639365770761,539.3238957103465,2015.7577594532463,ok
202204,905,-0.2642483224434986,0.7005071713105534,1.1313331954934418,0.4713655897295199,333.45757912736906,1547.6609479783353,ok
202205,905,-0.19917082312585688,0.6038279288871834,1.095769838612839,0.4838228565248162,287.06665631174303,1467.4200542543363,ok
202206,905,-0.16659166657636115,0.5938888767808658,1.1037413586375497,0.4964617290744995,336.155324894661,1756.5506478054067,ok
202207,905,-0.13172691004250914,0.5306550613742359,1.1133282306188745,0.4708627434718148,376.39377044126087,2147.4490857446526,ok
202208,905,-0.12703839875229428,0.533615712009953,1.1104831990238715,0.45241760718229496,376.3181909590342,2139.6100537980506,ok
202209,905,-0.1401888583111992,0.4811968296004828,1.1016694777694263,0.44241913833675595,318.4862083728122,1889.4380157010687,ok
202210,905,-0.37942718511571694,0.8195728222585381,1.1978755674415564,0.46369406608151825,414.57361248768206,1749.3935492016808,ok
202211,905,-0.4784489926579263,0.8821040536894333,1.244502546878222,0.476214950210276,442.1669055785444,1807.8270860933267,ok
202212,905,-0.6102570883099554,1.0050052532217457,1.3343713792332081,0.46604119415138306,603.908423136723,2295.687879005576,ok
202301,905,-0.5385980596960929,0.983580425891633,1.3086999586616739,0.45915735104435146,614.8058296317595,2361.4983426164245,ok
202302,905,-0.7123494062225371,1.0731109718269678,1.3656547956368004,0.46142701467584435,588.6135935522955,2162.775306503483,ok
202303,905,-0.6352034716775707,0.9480293841850942,1.3145531269043234,0.45499934924397717,476.41950577816266,1879.094739520248,ok
202304,905,-0.26961551708971254,0.6851710490452599,1.1250232893773755,0.4633878132272595,308.11549687690746,1449.4675887315154,ok
202305,905,-0.14580200284149503,0.5569887714632725,1.0628764097603065,0.46514337052973304,256.1207875462232,1371.7194816729,ok
202306,905,-0.3375903909273239,0.589442817522998,1.172847172648632,0.30700246256296165,355.96303581468266,1638.6319893415523,ok
202307,905,-0.09569324670413137,0.5073916555434047,1.0871974308471597,0.4391642563018878,345.04770653978966,2010.1928820909766,ok
202308,905,-0.08739435952853536,0.4792063436311092,1.0825474313171857,0.44120490717837746,328.47640127276384,1997.2699019380268,ok
202309,905,-0.558564348360014,0.714519704343918,1.2782366170853756,0.34488130329279626,500.07326621961204,1807.694259804684,ok
202310,905,-0.2531921278845939,0.7249081300883204,1.1330382378109058,0.4901823654235938,359.56826637424973,1630.064125324764,ok
202311,905,-0.3773416676171468,0.7798208049437431,1.192031370634068,0.4795028756114867,382.403869195275,1684.9956883180282,ok
202312,905,-0.4250926753672917,0.9058214514300397,1.2458617428865886,0.46219837619062676,536.8027451269467,2141.957770456246,ok
